Entropy,StdReturn,dLoss,MeanKLBefore,AverageDiscountedReturn,ExplainedVariance,LossAfter,AverageReturn,vf_LossBefore,MaxReturn,vf_dLoss,vf_LossAfter,Iteration,LossBefore,Perplexity,MinReturn,MeanKL,AveragePolicyStd,NumTrajs,vf_MeanKL
31.8419112674,151.036524278,0.0385836507687,0.0,265.56044794,0.174650964403,-0.0385836507687,286.058550018,6.4692138053,3252.18843662,0.0217246025101,6.44748920279,83,-1.66241743356e-17,6.74165240262e+13,-409.278245254,0.00997472955695,0.966508197962,2439,0.00995003293485
31.8357644742,222.228157018,0.0263963594478,0.0,262.948856884,0.0632005157032,-0.0263963594478,279.89949164,7.65565590534,2029.23154892,0.158708561713,7.49694734363,84,-1.90374682176e-16,6.70033995917e+13,-8643.2373654,0.00997111261167,0.96626725919,2449,0.00475853544487
31.8306920092,130.256093918,0.0383886342972,0.0,266.054211108,0.250285508054,-0.0383886342972,285.707114807,6.32785347994,2014.7210745,0.0257846629597,6.30206881698,85,-3.90761752275e-16,6.66643877321e+13,-575.99560792,0.00997846478948,0.966058430784,2414,0.00546300859349
31.8233386964,519.767769603,0.0258009377509,0.0,263.65814691,0.0106979200977,-0.0258009377509,272.791285141,18.8294463589,2046.43700831,2.0720575415,16.7573888174,86,1.1016505724e-16,6.61759815399e+13,-23207.8579413,0.0098979499983,0.965766406409,2409,0.00791489904908
31.8304746406,355.763454355,0.0245149820005,0.0,266.616618682,0.0375661976731,-0.0245149820005,284.69974379,9.79925578787,2207.63379961,0.558591845889,9.24066394199,87,9.75773157065e-17,6.66498985602e+13,-15295.7050459,0.00994620101222,0.966068972994,2353,0.00850906148164
31.8286442178,145.309698599,0.0378571804573,0.0,267.95087152,0.219737002514,-0.0378571804573,287.394817943,6.4805861333,1852.14080664,0.0204680984248,6.46011803487,88,6.13131766698e-17,6.65280126516e+13,-1288.77036282,0.00998660827848,0.965994102816,2313,0.00442011154815
31.8201588357,153.695585939,0.0396675590384,0.0,267.90385037,0.181971352653,-0.0396675590384,289.56975708,6.48284625771,2519.50303353,0.0170935996484,6.46575265806,89,7.135876401e-17,6.59658853517e+13,-635.028904023,0.00998537159726,0.965647795267,2395,0.00615682697741
31.8096199206,175.012822552,0.0412758528407,0.0,269.706213384,0.142680189495,-0.0412758528407,292.533421261,6.61596390123,3920.05427623,0.01847931111,6.59748459012,90,-5.74697389068e-17,6.52743270206e+13,-887.861591471,0.00997419918382,0.965215550513,2363,0.00987581623451
31.8062601344,171.282702505,0.0380893736587,0.0,271.334277346,0.179087120596,-0.0380893736587,294.750528647,6.54363154323,2513.17670249,0.0149474177099,6.52868412552,91,3.10093180966e-16,6.50553872425e+13,-879.2121782,0.00997592006277,0.965089358746,2306,0.0098336417772
31.7968471973,364.999078913,0.0276847421941,0.0,270.505363741,0.00680815227324,-0.0276847421941,288.357338939,10.7345638397,2568.5885015,0.0,10.7345638397,92,2.67146585024e-16,6.44458980158e+13,-13449.3763493,0.00996436381278,0.964706661945,2266,0.0
31.7970348464,254.127310692,0.0279960396735,0.0,270.294127927,0.0605023552087,-0.0279960396735,290.890803675,7.79263622116,2905.86453852,0.170348441227,7.62228777993,93,2.21484443135e-17,6.44579923635e+13,-8784.42557078,0.00996191415002,0.964713249767,2360,0.00514357864605
31.7984027132,168.845651262,0.0392826110582,0.0,272.313623568,0.218052261151,-0.0392826110582,294.664942844,6.54274158104,2752.11171905,0.0207604460552,6.52198113499,94,-4.34005363478e-18,6.45462226443e+13,-853.675432136,0.00999509618634,0.964779958603,2283,0.00621041471206
31.7907030264,1094.36013775,0.0247969421153,0.0,268.302012652,-0.00257876238132,-0.0247969421153,277.771530356,48.9645009913,3040.981042,0.0,48.9645009913,95,2.71919997191e-16,6.40511453587e+13,-51335.7091787,0.00985565627212,0.964469401841,2285,0.0
